Employee_ID,Name,Age,Department,Experience,Salary
8185,Vivian,46,IT,20,169224
8399,Darlene,24,HR,9,69736
4196,Aiden,52,Marketing,22,172041
1944,Calvin,49,Sales,22,175269
4672,Shane,27,Sales,12,96587
2424,Leo,61,Finance,28,228121
3389,Juanita,57,Marketing,28,219082
9010,Sally,30,Sales,14,112660
7713,Lucy,50,Sales,24,192120
4303,Bertha,35,Finance,17,138446
7683,Gail,62,Marketing,31,248320
7362,Oscar,49,Marketing,20,156711
1718,Mike,49,IT,28,226499
6548,Randall,57,IT,27,207647
6273,Ray,37,HR,19,150282
5076,Bernard,63,Marketing,36,293410
6914,Jeremiah,23,Sales,9,66124
1068,Dana,47,IT,20,162792
1539,Brooke,42,Finance,22,169701
2565,Leroy,26,Finance,12,89021
7334,Amelia,63,IT,31,253048
2974,Corey,22,Sales,7,43177
2346,June,36,IT,13,103682
2800,Owen,30,IT,16,129947
4437,Claire,62,Finance,29,227252
6007,Jay,32,Sales,15,127305
2510,Kristin,51,HR,24,184578
7197,Beatrice,45,IT,23,189031
5262,Clifford,61,Marketing,30,242312
4315,Marion,47,Sales,24,199412
8268,Renee,42,Marketing,22,181466
6197,Tara,61,HR,32,249787
6190,Madeline,23,IT,10,75579
8585,Barry,33,Sales,14,110956
4689,Debbie,52,Marketing,25,205417
9048,Eileen,44,Finance,25,196804
7445,Manuel,46,IT,21,171101
2129,Ida,27,IT,12,103203
2973,Lynn,26,Finance,15,120056
5722,Blake,30,Sales,16,136030
4334,Dean,58,IT,28,225695
3900,Kim,44,IT,18,140411
9317,Bernice,45,Finance,21,169472
7802,Ronnie,23,Finance,12,94602
3189,Warren,43,Finance,22,176423
2803,Gavin,41,Finance,20,173046
9086,Miguel,26,Marketing,12,82230
9975,Cassandra,22,IT,9,65079
8328,Regina,51,Sales,24,194961
1695,Elsie,55,IT,24,192619
6633,Jo,27,HR,16,123888
5922,Tommy,57,Sales,29,225741
4364,Trevor,54,Finance,28,221040
9938,Stella,34,HR,16,133650
4303,Gertrude,31,Marketing,11,93339
4845,Loretta,42,Finance,20,163242
8086,Rosa,36,IT,16,126451
4245,Sydney,23,HR,11,91619
6736,Oliver,43,Marketing,20,171600
9276,Chelsea,23,IT,10,75749
4411,Roberta,36,Marketing,19,146689
3693,Savannah,36,IT,17,141159
1513,Lindsey,41,Finance,18,143584
6094,Brett,30,Marketing,12,92136
9908,Colleen,53,IT,26,204041
5991,Gordon,60,HR,29,227146
8398,Mitchell,36,Finance,14,107232
2660,Charlie,57,Sales,28,222824
7255,Dominic,37,Finance,21,162790
2687,Jessie,50,IT,18,150069
8717,Annette,44,Finance,22,172707
1471,Molly,49,IT,25,200491
3188,Cathy,64,Finance,31,247653
7435,Stacy,49,Finance,24,191755
2002,Laurie,27,Sales,15,125131
5880,Lydia,42,Sales,21,164265
4796,Jon,28,Sales,15,109701
7768,Chase,53,Sales,29,238477
4407,Leon,48,HR,24,193938
4747,Bessie,49,Marketing,20,156976
9893,Seth,54,Sales,29,229200
1779,Kaitlyn,47,Sales,24,194985
3531,Don,40,HR,19,150665
9943,Naomi,45,Marketing,22,187991
6308,Jeanette,55,Marketing,26,202446
4784,Hailey,55,Finance,25,203933
8665,Jeanne,59,Sales,29,234277
8492,Darrell,54,HR,28,225715
2639,Lloyd,24,HR,10,75812
3328,Carter,24,Sales,8,68134
3255,Jerome,48,Finance,20,155985
4651,Erik,50,Finance,27,222685
6391,Alvin,49,Sales,28,220500
9655,Beth,31,Finance,15,126388
6856,Jenna,37,Sales,21,169212
7141,Yvonne,45,HR,24,186015
2259,Rosemary,52,Finance,27,217544
5518,Landon,33,Marketing,17,128767
5641,Bill,60,Marketing,27,216812
8734,Haley,50,HR,21,174984
7473,Alma,49,Sales,24,192274
8293,Wyatt,52,IT,28,216683
1014,Micheal,51,HR,22,184887
4824,Agnes,42,Sales,21,160580
8260,Gina,55,Marketing,30,245031
8101,Minnie,52,HR,19,148735
1488,Sebastian,44,HR,19,150934
9373,Devin,52,Marketing,31,249071
2643,Georgia,53,HR,29,235550
1498,Stacey,36,Sales,19,151124
1515,Pearl,39,Sales,17,140001
1919,Vicki,23,HR,10,78834
4464,Joann,27,IT,10,82592
6062,Max,27,HR,14,115688
8609,Kelsey,60,Sales,33,263818
3523,Lillie,45,HR,23,178139
7576,Levi,48,Sales,24,194575
9175,Lily,44,Sales,27,213467
4299,Floyd,43,Sales,19,155006
1747,Carla,51,Marketing,24,192646
5284,Edgar,62,IT,29,232123
3907,Lewis,56,Sales,29,229395
3543,Jim,45,Marketing,25,202850
5168,Nora,23,IT,10,85536
2060,Maureen,42,HR,21,172003
5476,Brent,56,Finance,29,235111
5336,Heidi,60,Sales,32,248177
7226,Derrick,38,HR,25,199358
7799,Mario,42,Finance,24,189242
1518,Nellie,35,Sales,14,115170
5175,Lindsay,64,IT,35,285886
8349,Kristina,48,IT,23,177664
2319,Shelby,29,Marketing,15,113358
5357,Terri,27,Finance,14,115037
6309,Destiny,43,HR,23,183906
3870,Vernon,42,IT,22,176978
3740,Paige,59,HR,31,257256
8426,Chris,32,Marketing,16,126088
9810,Marc,26,IT,15,118094
5396,Violet,34,Finance,16,131208
7546,Willie,60,HR,28,224502
7744,Sam,29,Finance,15,114758
