Order ID,Customer,Product,Category,Quantity,Price,Date
ORD0055,Pallavi,Wallet,Accessories,4,1200,2026-02-15
ORD0056,Amit,Notebook,Stationery,2,80,2026-03-23
ORD0057,Vandana,Iron,Home Utility,4,2500,2026-01-10
ORD0058,Vikram,Dress,Apparel,4,2500,2026-04-10
ORD0059,Shalini,Desk Lamp,Home Utility,3,1200,2026-06-29
ORD0060,Rohit,Wireless Mouse,Electronics,3,799,2026-04-03
ORD0061,Shreya,Dress,Apparel,3,2500,2026-06-27
ORD0062,Rekha,Knife Set,Kitchenware,3,1200,2026-07-06
ORD0063,Anil,Jeans,Apparel,5,2000,2026-04-03
ORD0064,Rajesh,Monitor,Electronics,2,18000,2026-04-25
ORD0065,Anil,Cap,Apparel,1,500,2026-07-20
ORD0066,Swati,Flip-Flops,Footwear,3,400,2026-02-04
ORD0067,Shyam,Watch,Accessories,5,5000,2026-01-25
ORD0068,Vikram,Shorts,Apparel,4,1200,2026-02-04
ORD0069,Rahul,Sneakers,Footwear,1,2800,2026-04-30
ORD0070,Suraj,Water Bottle,Fitness,2,400,2026-05-07
ORD0071,Parth,Blender,Kitchenware,4,3500,2026-03-04
ORD0072,Divya,Monitor,Electronics,5,18000,2026-04-22
ORD0073,Shalini,Coffee Mug,Kitchenware,5,250,2026-04-12
ORD0074,Chirag,Hoodie,Apparel,4,1800,2026-01-20
ORD0075,Rahul,Pen Set,Stationery,2,150,2026-04-05
ORD0076,Sanjay,Coffee Mug,Kitchenware,4,250,2026-07-09
ORD0077,Simran,Vacuum Cleaner,Home Utility,2,8000,2026-03-12
ORD0078,Abhishek,Headphones,Electronics,3,3200,2026-05-21
ORD0079,Lavanya,Protein Powder,Fitness,4,2500,2026-01-06
ORD0080,Shalini,Smartwatch,Electronics,2,12000,2026-07-09
ORD0081,Tanvi,Laptop,Electronics,3,55000,2026-02-26
ORD0082,Sameer,Knife Set,Kitchenware,2,1200,2026-03-03
ORD0083,Shyam,Vacuum Cleaner,Home Utility,1,8000,2026-07-14
ORD0084,Kartik,Smartwatch,Electronics,3,12000,2026-05-30
ORD0085,Amit,Refrigerator,Home Utility,2,45000,2026-05-31
ORD0086,Sonali,Flip-Flops,Footwear,3,400,2026-01-20
ORD0087,Meera,Watch,Accessories,2,5000,2026-06-17
ORD0088,Anita,Smartphone,Electronics,4,15000,2026-07-10
ORD0089,Sneha,Watch,Accessories,5,5000,2026-04-27
ORD0090,Parth,Dinner Set,Kitchenware,5,5000,2026-06-17
ORD0091,Aarti,Smartwatch,Electronics,2,12000,2026-04-19
ORD0092,Jatin,Blender,Kitchenware,3,3500,2026-06-06
ORD0093,Shyam,Knife Set,Kitchenware,2,1200,2026-06-03
ORD0094,Lavanya,Jacket,Apparel,4,3500,2026-03-12
ORD0095,Varun,Dress,Apparel,5,2500,2026-04-09
ORD0096,Sneha,Sticky Notes,Stationery,4,100,2026-01-21
ORD0097,Pallavi,Headphones,Electronics,2,3200,2026-01-13
ORD0098,Shreya,Iron,Home Utility,4,2500,2026-01-21
ORD0099,Chhavi,Headphones,Electronics,4,3200,2026-02-21
ORD0100,Arjun,Wallet,Accessories,4,1200,2026-03-02
ORD0101,Deepak,Refrigerator,Home Utility,3,45000,2026-07-09
ORD0102,Anita,Knife Set,Kitchenware,2,1200,2026-04-20
ORD0103,Chhavi,Resistance Bands,Fitness,2,600,2026-04-26
ORD0104,Shreya,Jeans,Apparel,4,2000,2026-01-11
ORD0105,Ramesh,Belt,Accessories,2,800,2026-06-04
ORD0106,Harish,Bedsheet,Home Utility,2,1500,2026-05-12
ORD0107,Pallavi,Power Bank,Electronics,5,1500,2026-02-07
ORD0108,Jatin,LED Bulb,Home Utility,3,150,2026-02-02
ORD0109,Vikram,Blender,Kitchenware,1,3500,2026-07-07
ORD0110,Sunil,Handbag,Accessories,4,3500,2026-06-02
ORD0111,Suraj,Curtains,Home Utility,2,2000,2026-07-30
ORD0112,Kartik,Running Shoes,Footwear,5,3500,2026-04-27
ORD0113,Lokesh,Tablet,Electronics,5,25000,2026-07-03
ORD0114,Nikhil,Formal Shoes,Footwear,4,4500,2026-05-24
ORD0115,Arjun,Running Shoes,Footwear,4,3500,2026-05-11
ORD0116,Jatin,Sports Gloves,Fitness,3,800,2026-03-16
ORD0117,Jyoti,Running Shoes,Footwear,4,3500,2026-06-11
ORD0118,Harish,Curtains,Home Utility,4,2000,2026-07-12
ORD0119,Suraj,Jump Rope,Fitness,5,300,2026-03-18
ORD0120,Vandana,Vacuum Cleaner,Home Utility,1,8000,2026-05-25
ORD0121,Anjali,Knife Set,Kitchenware,1,1200,2026-01-20
ORD0122,Divya,Tablet,Electronics,4,25000,2026-06-29
ORD0123,Sneha,Running Shoes,Footwear,3,3500,2026-05-25
ORD0124,Trisha,Notebook,Stationery,5,80,2026-05-22
ORD0125,Abhishek,Calendar Planner,Stationery,4,500,2026-06-03
ORD0126,Pallavi,Desk Lamp,Home Utility,2,1200,2026-01-19
ORD0127,Gaurav,Calendar Planner,Stationery,3,500,2026-07-23
ORD0128,Payal,Smartphone,Electronics,5,15000,2026-03-11
ORD0129,Ritu,Running Shoes,Footwear,4,3500,2026-06-26
ORD0130,Jyoti,Backpack,Accessories,4,1800,2026-06-17
ORD0131,Swati,Dumbbells,Fitness,5,2000,2026-02-26
ORD0132,Sunil,Hiking Boots,Footwear,5,6000,2026-06-12
ORD0133,Trisha,Blender,Kitchenware,4,3500,2026-05-19
ORD0134,Kusum,Refrigerator,Home Utility,3,45000,2026-03-12
ORD0135,Priya,Treadmill,Fitness,4,45000,2026-01-02
ORD0136,Simran,Treadmill,Fitness,1,45000,2026-02-18
ORD0137,Naveen,Calendar Planner,Stationery,4,500,2026-01-18
ORD0138,Anjali,Protein Powder,Fitness,5,2500,2026-01-10
ORD0139,Kunal,Dumbbells,Fitness,1,2000,2026-01-31
ORD0140,Priya,Curtains,Home Utility,5,2000,2026-05-08
ORD0141,Hemant,Microwave Oven,Kitchenware,3,12000,2026-05-27
ORD0142,Sanya,Hiking Boots,Footwear,4,6000,2026-02-28
ORD0143,Sunil,Dinner Set,Kitchenware,1,5000,2026-03-01
ORD0144,Aarti,Gaming Console,Electronics,1,40000,2026-07-19
ORD0145,Anjali,Bedsheet,Home Utility,2,1500,2026-04-18
ORD0146,Neha,Handbag,Accessories,2,3500,2026-02-25
ORD0147,Devendra,Smartphone,Electronics,2,15000,2026-07-14
ORD0148,Vandana,Smartphone,Electronics,4,15000,2026-07-02
ORD0149,Suraj,Iron,Home Utility,2,2500,2026-07-01
ORD0150,Jatin,Watch,Accessories,2,5000,2026-05-27
ORD0151,Abhishek,Iron,Home Utility,3,2500,2026-01-27
ORD0152,Naina,Hoodie,Apparel,4,1800,2026-03-01
ORD0153,Yogesh,Sticky Notes,Stationery,5,100,2026-03-29
ORD0154,Trisha,Microwave Oven,Kitchenware,5,12000,2026-07-23
ORD0155,Aarti,Calendar Planner,Stationery,5,500,2026-07-11
ORD0156,Prakash,Resistance Bands,Fitness,4,600,2026-01-25
ORD0157,Alka,Dumbbells,Fitness,3,2000,2026-01-02
ORD0158,Sunil,Power Bank,Electronics,3,1500,2026-03-02
ORD0159,Jatin,Wireless Mouse,Electronics,4,799,2026-05-22
ORD0160,Aarti,Jump Rope,Fitness,2,300,2026-06-29
ORD0161,Deepak,Shorts,Apparel,5,1200,2026-03-23
ORD0162,Vandana,Bluetooth Speaker,Electronics,1,2499,2026-07-26
ORD0163,Anita,Notebook,Stationery,5,80,2026-06-26
ORD0164,Anil,Yoga Mat,Fitness,5,1200,2026-02-08
ORD0165,Kartik,Pen Set,Stationery,3,150,2026-04-03
ORD0166,Sonali,Laptop,Electronics,1,55000,2026-04-16
ORD0167,Chhavi,Dinner Set,Kitchenware,2,5000,2026-05-01
ORD0168,Amit,Toaster,Kitchenware,1,1800,2026-04-29
ORD0169,Ramesh,Notebook,Stationery,5,80,2026-04-16
ORD0170,Deepak,Headphones,Electronics,3,3200,2026-04-30
ORD0171,Sanjay,Sticky Notes,Stationery,1,100,2026-05-26
ORD0172,Swati,Vacuum Cleaner,Home Utility,3,8000,2026-05-16
ORD0173,Mohit,Handbag,Accessories,5,3500,2026-02-11
ORD0174,Chirag,Backpack,Accessories,4,1800,2026-03-18
ORD0175,Harish,Vacuum Cleaner,Home Utility,5,8000,2026-03-25
ORD0176,Pallavi,Blender,Kitchenware,4,3500,2026-05-19
ORD0177,Abhishek,Sandals,Footwear,3,1200,2026-06-24
ORD0178,Pallavi,Jacket,Apparel,3,3500,2026-06-30
ORD0179,Payal,Hiking Boots,Footwear,3,6000,2026-07-17
ORD0180,Sanjay,Dumbbells,Fitness,5,2000,2026-01-17
ORD0181,Anjali,Wireless Mouse,Electronics,5,799,2026-06-07
ORD0182,Shyam,Dumbbells,Fitness,2,2000,2026-02-23
ORD0183,Suraj,T-shirt,Apparel,5,699,2026-03-29
ORD0184,Naina,Curtains,Home Utility,2,2000,2026-05-10
ORD0185,Ramesh,Dinner Set,Kitchenware,5,5000,2026-06-02
ORD0186,Suraj,Hiking Boots,Footwear,2,6000,2026-02-12
ORD0187,Trisha,Washing Machine,Home Utility,4,35000,2026-05-28
ORD0188,Parth,Jump Rope,Fitness,3,300,2026-02-25
ORD0189,Jyoti,Blender,Kitchenware,4,3500,2026-06-19
ORD0190,Varun,Frying Pan,Kitchenware,1,1500,2026-04-20
ORD0191,Arjun,Socks,Apparel,4,300,2026-06-24
ORD0192,Suraj,Cap,Apparel,4,500,2026-03-01
ORD0193,Abhishek,Watch,Accessories,5,5000,2026-05-08
ORD0194,Priya,Shorts,Apparel,5,1200,2026-07-23
ORD0195,Anil,T-shirt,Apparel,5,699,2026-02-01
ORD0196,Kartik,File Folder,Stationery,4,300,2026-01-15
ORD0197,Neha,Wireless Mouse,Electronics,2,799,2026-06-21
ORD0198,Devendra,Sandals,Footwear,3,1200,2026-02-19
ORD0199,Anjali,Hiking Boots,Footwear,1,6000,2026-01-02
ORD0200,Aarti,Water Bottle,Fitness,2,400,2026-05-24
ORD0201,Amit,Yoga Mat,Fitness,5,1200,2026-05-31
ORD0202,Ashok,Blender,Kitchenware,3,3500,2026-02-04
ORD0203,Ajay,Monitor,Electronics,4,18000,2026-02-27
ORD0204,Ishita,Whiteboard Marker,Stationery,1,250,2026-04-05
ORD0205,Gaurav,Gaming Console,Electronics,4,40000,2026-04-21
ORD0206,Nikita,Jump Rope,Fitness,5,300,2026-01-05
ORD0207,Shalini,Pen Set,Stationery,5,150,2026-04-25
ORD0208,Naveen,Sunglasses,Accessories,2,2500,2026-06-02
ORD0209,Anil,Wallet,Accessories,3,1200,2026-03-21
ORD0210,Varun,Socks,Apparel,3,300,2026-03-13
ORD0211,Abhishek,Sunglasses,Accessories,4,2500,2026-03-30
ORD0212,Parth,Refrigerator,Home Utility,3,45000,2026-04-16
ORD0213,Divya,Notebook,Stationery,3,80,2026-03-14
ORD0214,Kartik,Jacket,Apparel,1,3500,2026-03-03
ORD0215,Sameer,Coffee Mug,Kitchenware,2,250,2026-07-14
ORD0216,Rekha,Curtains,Home Utility,1,2000,2026-04-25
ORD0217,Kunal,Treadmill,Fitness,5,45000,2026-04-19
ORD0218,Kartik,Yoga Mat,Fitness,2,1200,2026-02-26
ORD0219,Nikita,Monitor,Electronics,4,18000,2026-04-28
ORD0220,Kunal,Laptop,Electronics,4,55000,2026-06-13
ORD0221,Priya,Treadmill,Fitness,2,45000,2026-04-18
ORD0222,Swati,Gaming Console,Electronics,5,40000,2026-02-12
ORD0223,Sanya,Running Shoes,Footwear,1,3500,2026-01-16
ORD0224,Hemant,Refrigerator,Home Utility,1,45000,2026-04-17
ORD0225,Swati,Monitor,Electronics,1,18000,2026-07-30
ORD0226,Rohit,File Folder,Stationery,5,300,2026-02-10
ORD0227,Rajesh,Hoodie,Apparel,4,1800,2026-07-25
ORD0228,Amit,Gaming Console,Electronics,5,40000,2026-06-19
ORD0229,Suraj,Pen Set,Stationery,1,150,2026-02-04
ORD0230,Varun,Frying Pan,Kitchenware,4,1500,2026-06-26
ORD0231,Rekha,Frying Pan,Kitchenware,1,1500,2026-03-18
ORD0232,Suresh,Headphones,Electronics,2,3200,2026-02-17
ORD0233,Ramesh,Backpack,Accessories,3,1800,2026-07-23
ORD0234,Kavita,Jeans,Apparel,1,2000,2026-03-29
ORD0235,Varun,Refrigerator,Home Utility,4,45000,2026-07-20
ORD0236,Rahul,Running Shoes,Footwear,1,3500,2026-03-15
ORD0237,Sonali,File Folder,Stationery,3,300,2026-06-19
ORD0238,Arjun,Vacuum Cleaner,Home Utility,1,8000,2026-05-26
ORD0239,Deepak,Smartphone,Electronics,4,15000,2026-04-30
ORD0240,Naina,Watch,Accessories,1,5000,2026-06-24
ORD0241,Ravi,Pen Set,Stationery,2,150,2026-06-18
ORD0242,Kartik,Pen Set,Stationery,1,150,2026-01-14
ORD0243,Mohit,Water Bottle,Fitness,1,400,2026-07-02
ORD0244,Suresh,Jump Rope,Fitness,1,300,2026-07-22
ORD0245,Parth,Pressure Cooker,Kitchenware,1,2200,2026-05-03
ORD0246,Shyam,Power Bank,Electronics,5,1500,2026-04-19
ORD0247,Arjun,Watch,Accessories,5,5000,2026-02-19
ORD0248,Priya,Jump Rope,Fitness,5,300,2026-05-31
ORD0249,Nikhil,Flip-Flops,Footwear,3,400,2026-05-12
ORD0250,Varun,Gaming Console,Electronics,1,40000,2026-07-29
ORD0251,Naina,Sports Gloves,Fitness,5,800,2026-01-19
ORD0252,Lavanya,Laptop,Electronics,2,55000,2026-02-17
ORD0253,Sameer,Running Shoes,Footwear,3,3500,2026-03-30
ORD0254,Anita,Gaming Console,Electronics,3,40000,2026-06-23
ORD0255,Nikhil,Yoga Mat,Fitness,1,1200,2026-06-18
ORD0256,Ajay,Treadmill,Fitness,4,45000,2026-07-29
ORD0257,Jatin,Water Bottle,Fitness,3,400,2026-07-07
ORD0258,Suresh,Dinner Set,Kitchenware,4,5000,2026-07-20
ORD0259,Shreya,File Folder,Stationery,5,300,2026-01-11
ORD0260,Shalini,Scarf,Accessories,3,700,2026-05-15
ORD0261,Bhavna,Whiteboard Marker,Stationery,2,250,2026-02-11
ORD0262,Harish,Cap,Apparel,2,500,2026-02-15
ORD0263,Shyam,Power Bank,Electronics,5,1500,2026-06-27
ORD0264,Amit,Pressure Cooker,Kitchenware,2,2200,2026-05-17
ORD0265,Ravi,Bedsheet,Home Utility,5,1500,2026-02-05
ORD0266,Mitali,Smartphone,Electronics,1,15000,2026-04-18
ORD0267,Meera,Resistance Bands,Fitness,4,600,2026-06-15
ORD0268,Ramesh,Smartwatch,Electronics,3,12000,2026-01-28
ORD0269,Kunal,Pen Set,Stationery,5,150,2026-05-09
ORD0270,Hemant,Water Bottle,Fitness,5,400,2026-03-02
ORD0271,Harish,Socks,Apparel,2,300,2026-03-02
ORD0272,Rahul,Smartphone,Electronics,5,15000,2026-07-01
ORD0273,Monika,Resistance Bands,Fitness,1,600,2026-04-18
ORD0274,Sunil,Wallet,Accessories,3,1200,2026-02-20
ORD0275,Arjun,Cap,Apparel,4,500,2026-05-16
ORD0276,Ajay,Washing Machine,Home Utility,5,35000,2026-06-02
ORD0277,Harish,Desk Lamp,Home Utility,1,1200,2026-01-19
ORD0278,Meera,Socks,Apparel,4,300,2026-01-25
ORD0279,Parth,Socks,Apparel,4,300,2026-02-07
ORD0280,Prakash,Yoga Mat,Fitness,4,1200,2026-07-15
ORD0281,Prakash,Jeans,Apparel,5,2000,2026-05-02
ORD0282,Kusum,Dress,Apparel,4,2500,2026-06-04
ORD0283,Nikhil,Microwave Oven,Kitchenware,2,12000,2026-04-11
ORD0284,Anil,Headphones,Electronics,3,3200,2026-05-21
ORD0285,Shreya,Dinner Set,Kitchenware,2,5000,2026-04-16
ORD0286,Alka,Blender,Kitchenware,4,3500,2026-01-05
ORD0287,Arjun,Handbag,Accessories,4,3500,2026-07-09
ORD0288,Naina,Sports Gloves,Fitness,4,800,2026-02-05
ORD0289,Simran,Yoga Mat,Fitness,4,1200,2026-06-09
ORD0290,Deepak,Knife Set,Kitchenware,3,1200,2026-05-12
ORD0291,Prakash,Gaming Console,Electronics,5,40000,2026-05-24
ORD0292,Ravi,Tablet,Electronics,4,25000,2026-01-31
ORD0293,Jatin,Dress,Apparel,3,2500,2026-04-17
ORD0294,Priya,Iron,Home Utility,4,2500,2026-05-11
ORD0295,Manish,Headphones,Electronics,5,3200,2026-06-24
ORD0296,Nikita,Cap,Apparel,1,500,2026-01-12
ORD0297,Vikram,Watch,Accessories,2,5000,2026-06-09
ORD0298,Divya,Dumbbells,Fitness,4,2000,2026-04-05
ORD0299,Kunal,Smartphone,Electronics,5,15000,2026-03-17
ORD0300,Bhavna,Wireless Mouse,Electronics,4,799,2026-01-31
ORD0301,Monika,Water Bottle,Fitness,4,400,2026-07-17
ORD0302,Vikram,Water Bottle,Fitness,3,400,2026-01-30
ORD0303,Alka,Pen Set,Stationery,5,150,2026-07-22
ORD0304,Sunil,Hiking Boots,Footwear,4,6000,2026-06-12
ORD0305,Bhavna,Knife Set,Kitchenware,3,1200,2026-06-03
ORD0306,Ramesh,Scarf,Accessories,1,700,2026-03-17
ORD0307,Nikhil,T-shirt,Apparel,3,699,2026-03-19
ORD0308,Vandana,T-shirt,Apparel,4,699,2026-04-06
ORD0309,Bhavna,Bedsheet,Home Utility,2,1500,2026-04-20
ORD0310,Suresh,T-shirt,Apparel,3,699,2026-03-27
ORD0311,Swati,Sticky Notes,Stationery,3,100,2026-07-17
ORD0312,Rajesh,Wireless Mouse,Electronics,3,799,2026-05-13
ORD0313,Neha,Watch,Accessories,2,5000,2026-03-11
ORD0314,Manish,Calendar Planner,Stationery,5,500,2026-02-08
ORD0315,Hemant,Dress,Apparel,1,2500,2026-07-22
ORD0316,Radhika,Dinner Set,Kitchenware,5,5000,2026-05-26
ORD0317,Suraj,Curtains,Home Utility,2,2000,2026-01-09
ORD0318,Vandana,Jump Rope,Fitness,3,300,2026-07-07
ORD0319,Sameer,Monitor,Electronics,4,18000,2026-01-03
ORD0320,Manish,Protein Powder,Fitness,3,2500,2026-02-08
ORD0321,Rohit,Handbag,Accessories,5,3500,2026-05-16
ORD0322,Rohit,LED Bulb,Home Utility,3,150,2026-04-10
ORD0323,Gaurav,Bluetooth Speaker,Electronics,2,2499,2026-06-03
ORD0324,Suraj,Pen Set,Stationery,2,150,2026-04-21
ORD0325,Komal,Jacket,Apparel,1,3500,2026-04-13
ORD0326,Kartik,Blender,Kitchenware,2,3500,2026-07-26
ORD0327,Pooja,LED Bulb,Home Utility,4,150,2026-05-21
ORD0328,Rohit,Pen Set,Stationery,1,150,2026-02-02
ORD0329,Alka,Protein Powder,Fitness,3,2500,2026-05-21
ORD0330,Anjali,Vacuum Cleaner,Home Utility,1,8000,2026-05-29
ORD0331,Mohit,Gaming Console,Electronics,3,40000,2026-06-01
ORD0332,Rohit,Tablet,Electronics,2,25000,2026-06-19
ORD0333,Rajesh,Toaster,Kitchenware,5,1800,2026-01-04
ORD0334,Rekha,Coffee Mug,Kitchenware,1,250,2026-02-14
ORD0335,Ajay,Dress,Apparel,4,2500,2026-01-20
ORD0336,Simran,Sandals,Footwear,5,1200,2026-07-07
ORD0337,Payal,Bedsheet,Home Utility,4,1500,2026-03-26
ORD0338,Ritu,Hiking Boots,Footwear,3,6000,2026-04-09
ORD0339,Rajesh,Bedsheet,Home Utility,2,1500,2026-01-17
ORD0340,Varun,Shorts,Apparel,1,1200,2026-03-30
ORD0341,Sunil,Gaming Console,Electronics,5,40000,2026-01-13
ORD0342,Lavanya,Protein Powder,Fitness,4,2500,2026-02-27
ORD0343,Ishita,Vacuum Cleaner,Home Utility,1,8000,2026-02-18
ORD0344,Trisha,Coffee Mug,Kitchenware,1,250,2026-07-20
ORD0345,Ravi,Dumbbells,Fitness,3,2000,2026-04-01
ORD0346,Nikita,Sticky Notes,Stationery,4,100,2026-05-30
ORD0347,Aarti,Dinner Set,Kitchenware,1,5000,2026-04-07
ORD0348,Abhishek,Pen Set,Stationery,2,150,2026-01-06
ORD0349,Nikita,Tablet,Electronics,4,25000,2026-06-16
ORD0350,Rohit,Pressure Cooker,Kitchenware,3,2200,2026-04-12
ORD0351,Rahul,Jeans,Apparel,2,2000,2026-07-01
ORD0352,Manish,Formal Shoes,Footwear,4,4500,2026-06-16
ORD0353,Jatin,Highlighter Pack,Stationery,2,200,2026-06-30
ORD0354,Payal,Dinner Set,Kitchenware,1,5000,2026-01-15
ORD0355,Neha,Flip-Flops,Footwear,4,400,2026-02-12
ORD0356,Jyoti,Calendar Planner,Stationery,4,500,2026-06-16
ORD0357,Lavanya,Belt,Accessories,4,800,2026-05-29
ORD0358,Sanya,Dinner Set,Kitchenware,3,5000,2026-05-29
ORD0359,Vandana,Jeans,Apparel,4,2000,2026-03-27
ORD0360,Kiran,Bluetooth Speaker,Electronics,4,2499,2026-07-04
ORD0361,Sanya,Smartwatch,Electronics,3,12000,2026-06-17
ORD0362,Manish,Whiteboard Marker,Stationery,4,250,2026-03-30
ORD0363,Anjali,Monitor,Electronics,4,18000,2026-07-10
ORD0364,Lavanya,Pen Set,Stationery,2,150,2026-05-08
ORD0365,Anjali,Frying Pan,Kitchenware,4,1500,2026-05-14
ORD0366,Sonali,Cap,Apparel,3,500,2026-03-21
ORD0367,Monika,Shorts,Apparel,4,1200,2026-06-27
ORD0368,Naina,Headphones,Electronics,4,3200,2026-04-02
ORD0369,Sunil,Bluetooth Speaker,Electronics,1,2499,2026-04-21
ORD0370,Sneha,Curtains,Home Utility,3,2000,2026-03-18
ORD0371,Komal,Frying Pan,Kitchenware,3,1500,2026-06-20
ORD0372,Varun,Shorts,Apparel,3,1200,2026-06-15
ORD0373,Anil,Jeans,Apparel,2,2000,2026-05-09
ORD0374,Swati,Dress,Apparel,2,2500,2026-04-26
ORD0375,Aarti,Running Shoes,Footwear,2,3500,2026-02-13
ORD0376,Ashok,Dumbbells,Fitness,1,2000,2026-03-27
ORD0377,Hemant,Treadmill,Fitness,4,45000,2026-03-26
ORD0378,Lokesh,Knife Set,Kitchenware,1,1200,2026-03-29
ORD0379,Sameer,T-shirt,Apparel,1,699,2026-01-17
ORD0380,Suraj,Yoga Mat,Fitness,1,1200,2026-06-18
ORD0381,Arjun,Refrigerator,Home Utility,1,45000,2026-03-01
ORD0382,Yogesh,Scarf,Accessories,2,700,2026-06-11
ORD0383,Sunil,Cap,Apparel,4,500,2026-03-28
ORD0384,Deepak,Wireless Mouse,Electronics,4,799,2026-06-14
ORD0385,Trisha,Vacuum Cleaner,Home Utility,1,8000,2026-07-26
ORD0386,Shyam,Jacket,Apparel,2,3500,2026-03-28
ORD0387,Rajesh,Power Bank,Electronics,2,1500,2026-01-29
ORD0388,Rajesh,Shorts,Apparel,2,1200,2026-07-09
ORD0389,Anita,Belt,Accessories,2,800,2026-07-23
ORD0390,Priya,Cap,Apparel,3,500,2026-04-01
ORD0391,Rekha,Knife Set,Kitchenware,1,1200,2026-05-20
ORD0392,Ishita,Calendar Planner,Stationery,2,500,2026-01-22
ORD0393,Swati,Laptop,Electronics,2,55000,2026-01-13
ORD0394,Swati,Hiking Boots,Footwear,4,6000,2026-02-17
ORD0395,Ramesh,Microwave Oven,Kitchenware,4,12000,2026-05-04
ORD0396,Prakash,Protein Powder,Fitness,4,2500,2026-02-21
ORD0397,Shyam,Coffee Mug,Kitchenware,1,250,2026-04-23
ORD0398,Simran,Dinner Set,Kitchenware,2,5000,2026-07-01
ORD0399,Aarti,Protein Powder,Fitness,4,2500,2026-01-26
ORD0400,Rohit,Shorts,Apparel,1,1200,2026-04-13
ORD0401,Alka,Dumbbells,Fitness,1,2000,2026-03-14
ORD0402,Priya,Sneakers,Footwear,1,2800,2026-04-16
ORD0403,Vandana,File Folder,Stationery,3,300,2026-01-06
ORD0404,Sneha,Sneakers,Footwear,1,2800,2026-03-07
ORD0405,Radhika,Calendar Planner,Stationery,3,500,2026-03-24
